scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
20,s,27,Pedestrian,,single_passes_single_crosswalk;vehicle_turns_right_in_front_of_crossing_pedestrian_not_over_halfway;pass_oncoming_on_right;minor_cut_exit_corner,22;23;24;26;28;29;30;31;32;33;39;67;74;75;86;97;98;127,38,62
21,s,27,Pedestrian,,single_passes_single_walkway;pass_oncoming_on_right,22;23;24;26;28;29;30;31;32;33;39;67;74;75;86;97;98;127,62,87.5875
22,s,28,Pedestrian,,single_jaywalks,22;23;24;26;27;29;30;31;32;33;39;67;74;75;86,0,43.877167
23,s,29,Pedestrian,,group_no_interaction_crosswalk;minor_cut_entrance_corner,22;23;24;26;27;28;30;31;32;33;39;67;74;75;86;97;98;127,0,8
24,s,29,Pedestrian,,group_no_interaction_crosswalk;major_cut_entrance_corner;vehicle_turns_right_in_front_of_crossing_pedestrian_not_over_halfway,22;23;24;26;27;28;30;31;32;33;39;67;74;75;86;97;98;127,8,33
25,s,29,Pedestrian,,group_passes_single_crosswalk;pass_oncoming_on_right;vehicle_turns_right_in_front_of_crossing_pedestrian_not_over_halfway;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,22;23;24;26;27;28;30;31;32;33;39;67;74;75;86;97;98;127,33,62
26,s,29,Pedestrian,,group_passes_single_walkway;pass_oncoming_on_right,22;23;24;26;27;28;30;31;32;33;39;67;74;75;86;97;98;127,62,92.759333
27,s,30,Pedestrian,,single_no_interaction_crosswalk,22;23;24;26;27;28;29;31;32;33;39;67;74;75,0,12
28,s,30,Pedestrian,,single_no_interaction_crosswalk;minor_cut_exit_corner,22;23;24;26;27;28;29;31;32;33;39;67;74;75,12,21
29,s,30,Pedestrian,,group_no_interaction_walkway,22;23;24;26;27;28;29;31;32;33;39;67;74;75,21,27.193833
30,s,31,Pedestrian,,single_no_interaction_crosswalk,22;23;24;26;27;28;29;30;32;33;39;67;74;75,0,16
31,s,31,Pedestrian,,single_no_interaction_crosswalk,22;23;24;26;27;28;29;30;32;33;39;67;74;75,16,24
32,s,31,Pedestrian,,group_no_interaction_walkway,22;23;24;26;27;28;29;30;32;33;39;67;74;75,24,28.194833
33,s,32,Pedestrian,,group_no_interaction_walkway,22;23;24;26;27;28;29;30;31;33;39;67;74;75;86;97;98;127,0,17
34,s,32,Pedestrian,,group_no_interaction_crosswalk,22;23;24;26;27;28;29;30;31;33;39;67;74;75;86;97;98;127,17,30
35,s,32,Pedestrian,,group_no_interaction_crosswalk,22;23;24;26;27;28;29;30;31;33;39;67;74;75;86;97;98;127,30,67
36,s,32,Pedestrian,,group_no_interaction_crosswalk,22;23;24;26;27;28;29;30;31;33;39;67;74;75;86;97;98;127,67,75
37,s,32,Pedestrian,,group_no_interaction_walkway,22;23;24;26;27;28;29;30;31;33;39;67;74;75;86;97;98;127,75,107.941167
38,s,33,Pedestrian,,group_no_interaction_walkway,22;23;24;26;27;28;29;30;31;32;39;67;74;75;86;97;98;127,0,15
39,s,33,Pedestrian,,group_no_interaction_crosswalk,22;23;24;26;27;28;29;30;31;32;39;67;74;75;86;97;98;127,15,30
40,s,33,Pedestrian,,group_no_interaction_crosswalk,22;23;24;26;27;28;29;30;31;32;39;67;74;75;86;97;98;127,30,65
41,s,33,Pedestrian,,group_no_interaction_crosswalk,22;23;24;26;27;28;29;30;31;32;39;67;74;75;86;97;98;127,65,74
42,s,33,Pedestrian,,group_no_interaction_walkway,22;23;24;26;27;28;29;30;31;32;39;67;74;75;86;97;98;127,74,104.104
43,s,39,Pedestrian,,single_no_interaction_walkway,22;23;24;26;27;28;29;30;31;32;33;67;74;75;86;97;98,2.335667,35
44,s,39,Pedestrian,,single_passes_group_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk;pass_oncoming_on_right,22;23;24;26;27;28;29;30;31;32;33;67;74;75;86;97;98,35,56
45,s,39,Pedestrian,,single_no_interaction_walkway,22;23;24;26;27;28;29;30;31;32;33;67;74;75;86;97;98,56,65.231833
46,s,67,Pedestrian,,single_no_interaction_walkway,22;23;24;26;27;28;29;30;31;32;33;39;74;75;86;97;98;127;162;163;178;185;200;201;217;257;261;279;280,14.681333,240
47,s,67,Pedestrian,,single_passes_single_crosswalk;pass_oncoming_on_right;single_avoids_car_in_crosswalk,22;23;24;26;27;28;29;30;31;32;33;39;74;75;86;97;98;127;162;163;178;185;200;201;217;257;261;279;280,240,259
48,s,67,Pedestrian,,single_no_interaction_walkway,22;23;24;26;27;28;29;30;31;32;33;39;74;75;86;97;98;127;162;163;178;185;200;201;217;257;261;279;280,259,266.266
49,s,74,Pedestrian,,group_no_interaction_walkway,22;23;24;26;27;28;29;30;31;32;33;39;67;75;86;97;98,19.185833,30
50,s,74,Pedestrian,,group_no_interaction_walkway,22;23;24;26;27;28;29;30;31;32;33;39;67;75;86;97;98,30,75.5755
51,s,75,Pedestrian,,group_no_interaction_walkway,22;23;24;26;27;28;29;30;31;32;33;39;67;74;86;97;98,19.185833,30
52,s,75,Pedestrian,,group_no_interaction_walkway,22;23;24;26;27;28;29;30;31;32;33;39;67;74;86;97;98,30,76.910167
53,s,86,Pedestrian,,single_no_interaction_walkway,22;23;24;26;27;28;29;32;33;39;67;74;75;97;98,30.5305,54
54,s,86,Pedestrian,,single_no_interaction_crosswalk;minor_cut_exit_corner,22;23;24;26;27;28;29;32;33;39;67;74;75;97;98,54,81.414667
55,s,97,Pedestrian,,single_no_interaction_crosswalk,22;23;24;26;27;29;32;33;39;67;74;75;86;98;127;162;163,47.881167,70
56,s,97,Pedestrian,,single_no_interaction_crosswalk;cross_in_front_of_yielding_left-turning_vehicle;cross_in_front_of_yielding_right-turning_vehicle_on_unsignalized_crosswalk,22;23;24;26;27;29;32;33;39;67;74;75;86;98;127;162;163,70,122
57,s,97,Pedestrian,,single_no_interaction_walkway,22;23;24;26;27;29;32;33;39;67;74;75;86;98;127;162;163,122,135.135
58,s,98,Pedestrian,,single_passes_single_walkway;pass_oncoming_on_right,22;23;24;26;27;29;32;33;39;67;74;75;86;97;127,48.214833,70
59,s,98,Pedestrian,,single_no_interaction_crosswalk;increase_speed_while_crossing_crosswalk,22;23;24;26;27;29;32;33;39;67;74;75;86;97;127,70,77
60,s,98,Pedestrian,,single_no_interaction_walkway,22;23;24;26;27;29;32;33;39;67;74;75;86;97;127,77,97.764333
61,x,127,Pedestrian,,-,22;23;24;26;27;29;32;33;67;97;98,87.087,109.776333
62,x,162,Pedestrian,,-,67;97;163,116.449667,126.793333
63,x,163,Pedestrian,,-,67;97;162,117.951167,127.794333
64,s,178,Pedestrian,,single_no_interaction_walkway,67;185;200;201;217,135.969167,161
65,s,178,Pedestrian,,single_no_interaction_crosswalk;minor_cut_exit_corner,67;185;200;201;217,161,167
66,s,178,Pedestrian,,single_no_interaction_crosswalk,67;185;200;201;217,167,179
67,s,178,Pedestrian,,single_no_interaction_crosswalk;minor_cut_exit_corner,67;185;200;201;217,179,185
68,s,178,Pedestrian,,single_no_interaction_walkway,67;185;200;201;217,185,208.541667
69,s,185,Pedestrian,,single_no_interaction_crosswalk;jaywalk_beside_crosswalk,67;178;200;201;217;257;261,148.481667,162
70,s,185,Pedestrian,,single_no_interaction_crosswalk;major_cut_exit_corner,67;178;200;201;217;257;261,162,205
71,s,185,Pedestrian,,single_no_interaction_walkway,67;178;200;201;217;257;261,205,231.7315
72,s,200,Pedestrian,,single_no_interaction_walkway,67;178;185;201;217;257;261;279;280,174.507667,235
73,s,200,Pedestrian,,single_passes_single_crosswalk;pass_oncoming_on_right;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,67;178;185;201;217;257;261;279;280,235,272.605667
74,x,201,Pedestrian,,-,67;178;185;200;217,175.341833,192.6925
75,s,217,Pedestrian,,single_no_interaction_walkway,67;178;185;200;201,189.355833,215.215
76,s,257,Pedestrian,,single_no_interaction_walkway,67;185;200;261;279;280,224.557667,290.957333
77,s,261,Pedestrian,,single_no_interaction_walkway,67;185;200;257;279;280,230.563667,262.7625
78,s,279,Pedestrian,,group_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,67;200;257;261;280,257.7575,290.957333
79,s,280,Pedestrian,,group_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,67;200;257;261;279,257.7575,290.957333
